1 0 3018
2 3019 2299
3 5319 6964
4 12284 2688
5 14973 3633
6 18607 2452
7 21060 4764
8 25825 1636
9 27462 7282
10 34745 2235
11 36981 1639
12 38621 843
13 39465 912
14 40378 2467
15 42846 8097
16 50944 2507
17 53452 5493
18 58946 2416
19 61363 1855
20 63219 925
21 64145 1169
22 65315 5323
23 70639 1352
24 71992 7604
25 79597 4161
26 83759 3059
27 86819 3921
28 90741 383
29 91125 731
30 91857 1387
31 93245 737
32 93983 1585
33 95569 2133
34 97703 2581
35 100285 2934
36 103220 1972
37 105193 1325
38 106519 6411
39 112931 14966
40 127898 2243
41 130142 3687
42 133830 6461
43 140292 7128
44 147421 1998
45 149420 2048
46 151469 3404
47 154874 9023
48 163898 3673
49 167572 4488
50 172061 11257
51 183319 509
52 183829 407
53 184237 7574
54 191812 2858
55 194671 3213
56 197885 1997
57 199883 3678
58 203562 1691
59 205254 8302
60 213557 1771
61 215329 3004
62 218334 1569
63 219904 2379
64 222284 4183
65 226468 8129
66 234598 3816
67 238415 2028
68 240444 5765
69 246210 1913
70 248124 2510
71 250635 2568
72 253204 596
73 253801 473
74 254275 632
75 254908 1916
76 256825 1773
77 258599 1130
78 259730 3241
79 262972 2790
80 265763 639
81 266403 5401
82 271805 8507
83 280313 7410
84 287724 2479
85 290204 2491
86 292696 4555
87 297252 5943
88 303196 5225
89 308422 7993
90 316416 6378
91 322795 2651
92 325447 2427
93 327875 2079
94 329955 2457
95 332413 9599
96 342013 13382
97 355396 432
98 355829 3750
99 359580 3922
100 363503 2416
101 365920 3499
102 369420 1816
103 371237 2358
104 373596 2462
105 376059 1459
106 377519 1296
107 378816 1084
108 379901 5186
109 385088 8564
110 393653 5068
111 398722 2149
112 400872 2462
113 403335 6368
114 409704 1650
115 411355 3403
116 414759 1508
117 416268 2590
118 418859 3764
119 422624 934
120 423559 3008
121 426568 2151
122 428720 2917
123 431638 1264
124 432903 2396
125 435300 9300
126 444601 1938
127 446540 4451
128 450992 2056
129 453049 6012
130 459062 8852
131 467915 1240
132 469156 5486
133 474643 3912
134 478556 8182
135 486739 6781
136 493521 4751
137 498273 2000
138 500274 1316
139 501591 5542
140 507134 8076
141 515211 1116
142 516328 784
143 517113 1141
144 518255 1133
145 519389 1141
146 520531 1550
147 522082 7158
148 529241 2432
149 531674 1913
150 533588 2741
151 536330 2673
152 539004 2093
153 541098 3769
154 544868 1623
155 546492 9571
156 556064 6407
157 562472 6614
158 569087 1500
159 570588 22664
160 593253 1043
161 594297 1759
162 596057 5893
163 601951 5350
164 607302 11856
165 619159 243
166 619403 2138
167 621542 986
168 622529 1206
169 623736 2728
170 626465 3622
171 630088 2852
172 632941 7784
173 640726 492
174 641219 755
175 641975 4786
176 646762 1209
177 647972 3491
178 651464 3480
179 654945 6503
180 661449 4126
181 665576 15086
182 680663 1018
183 681682 3755
184 685438 1648
185 687087 945
186 688033 1638
187 689672 9744
188 699417 3484
189 702902 7513
190 710416 8162
191 718579 2869
192 721449 1829
193 723279 1691
194 724971 1395
195 726367 4970
196 731338 1925
197 733264 1377
198 734642 9360
199 744003 2754
200 746758 3683
201 750442 2549
202 752992 6149
203 759142 3423
204 762566 3673
205 766240 7967
206 774208 3300
207 777509 15272
208 792782 2544
209 795327 3454
210 798782 1632
211 800415 1558
212 801974 1493
213 803468 1413
214 804882 1819
215 806702 2316
216 809019 1953
217 810973 3036
218 814010 5503
219 819514 9981
220 829496 4934
221 834431 1222
222 835654 5977
223 841632 7707
224 849340 10029
225 859370 5816
226 865187 6501
227 871689 2072
228 873762 11696
229 885459 9203
230 894663 6205
231 900869 6873
232 907743 3088
233 910832 2501
234 913334 5234
235 918569 1316
236 919886 1095
237 920982 14595
238 935578 1303
239 936882 5309
240 942192 2558
241 944751 1222
